,fs,t,y
0,57.24329404504512,222.4797841,2.6318359375
1,,222.5057472,2.5732421875
2,,222.5067063,2.5
3,,222.5220906,2.4169921875
4,,222.5682729,2.32421875
5,,222.5688308,2.2412109375
6,,222.5984608,2.1533203125
7,,222.6037416,2.0849609375
8,,222.6436945,2.0263671875
9,,222.6439974,1.9580078125
10,,222.6656104,1.8994140625
11,,222.7007803,1.8408203125
12,,222.7058596,1.7822265625
13,,222.7231371,1.71875
14,,222.7676852,1.6650390625
15,,222.768328,1.6162109375
16,,222.7829365,1.5625
17,,222.817149,1.513671875
18,,222.8376226,1.4794921875
19,,222.8447492,1.435546875
20,,222.8808541,1.40625
21,,222.9070424,1.455078125
22,,222.9077934,1.6259765625
23,,222.92359,1.8603515625
24,,222.9593827,2.1533203125
25,,222.9823594,2.4365234375
26,,222.9852603,2.7197265625
27,,223.0287835,2.978515625
28,,223.0290857,3.1494140625
29,,223.0510289,3.2568359375
30,,223.0635362,3.2861328125
31,,223.0842348,3.2568359375
32,,223.1199119,3.173828125
33,,223.1246413,3.0615234375
34,,223.1589935,2.9345703125
35,,223.1800313,2.802734375
36,,223.1848439,2.67578125
37,,223.2201364,2.5537109375
38,,223.2400401,2.431640625
39,,223.243056,2.314453125
40,,223.278502,2.20703125
41,,223.2989086,2.1142578125
42,,223.3035921,2.0361328125
43,,223.3376847,1.9580078125
44,,223.3592313,1.8798828125
45,,223.3666771,1.787109375
46,,223.3865938,1.69921875
47,,223.4305743,1.6064453125
48,,223.4309287,1.513671875
49,,223.4436498,1.4306640625
50,,223.4647475,1.3720703125
51,,223.5062806,1.337890625
52,,223.5066814,1.3916015625
53,,223.5266049,1.54296875
54,,223.5614803,1.8017578125
55,,223.5668733,2.0751953125
56,,223.6032718,2.3779296875
57,,223.6037662,2.6318359375
58,,223.6377466,2.8662109375
59,,223.6581332,3.0224609375
60,,223.6656746,3.076171875
61,,223.7063203,3.0615234375
62,,223.7066265,2.96875
63,,223.7412165,2.83203125
64,,223.7605392,2.6611328125
65,,223.7669086,2.4755859375
66,,223.785241,2.2998046875
67,,223.8198709,2.138671875
68,,223.8240299,2.001953125
69,,223.8603854,1.884765625
70,,223.8650548,1.77734375
71,,223.9003736,1.6748046875
72,,223.9054122,1.58203125
73,,223.9395796,1.484375
74,,223.968497,1.3916015625
75,,223.969185,1.3037109375
76,,223.9828012,1.2158203125
77,,224.0176755,1.1328125
78,,224.0385731,1.0693359375
79,,224.0444407,1.015625
80,,224.0897934,0.966796875
81,,224.0905372,0.9423828125
82,,224.1069638,0.95703125
83,,224.149475,1.0498046875
84,,224.1499371,1.26953125
85,,224.1701336,1.552734375
86,,224.1849697,1.884765625
87,,224.2206943,2.1923828125
88,,224.2256875,2.48046875
89,,224.2628064,2.6953125
90,,224.2898139,2.8662109375
91,,224.290292,2.9638671875
92,,224.3087157,2.978515625
93,,224.3541345,2.9345703125
94,,224.3548609,2.8466796875
95,,224.3638489,2.744140625
96,,224.4010491,2.6318359375
97,,224.4285573,2.5146484375
98,,224.4290983,2.4072265625
99,,224.4468936,2.3046875
100,,224.4815522,2.20703125
101,,224.5024299,2.119140625
102,,224.5056705,2.0361328125
103,,224.5510939,1.962890625
104,,224.5514179,1.884765625
105,,224.5661802,1.8115234375
106,,224.6044278,1.7333984375
107,,224.605227,1.66015625
108,,224.6388988,1.591796875
109,,224.6600791,1.5185546875
110,,224.66876,1.4404296875
111,,224.6837403,1.3623046875
112,,224.7190165,1.3037109375
113,,224.7400295,1.2890625
114,,224.7449769,1.396484375
115,,224.7817725,1.6015625
116,,224.8170748,1.8994140625
117,,224.8176009,2.2021484375
118,,224.8284178,2.51953125
119,,224.8619528,2.7880859375
120,,224.8825112,3.0224609375
121,,224.8849968,3.173828125
122,,224.9201053,3.2568359375
123,,224.9412175,3.2666015625
124,,224.9474083,3.1982421875
125,,224.9850308,3.0908203125
126,,224.9869771,2.9541015625
127,,225.0245491,2.8125
128,,225.029354,2.6611328125
129,,225.0650737,2.5244140625
130,,225.0655248,2.40234375
131,,225.0922019,2.294921875
132,,225.1073681,2.1875
133,,225.1437491,2.099609375
134,,225.1480712,2.01171875
135,,225.1855838,1.9189453125
136,,225.1908015,1.8310546875
137,,225.2332666,1.73828125
138,,225.2337296,1.6455078125
139,,225.2454453,1.5576171875
140,,225.2936474,1.455078125
141,,225.2940102,1.3427734375
142,,225.3147707,1.240234375
143,,225.3279487,1.162109375
144,,225.3633679,1.1376953125
145,,225.3680945,1.2255859375
146,,225.4035476,1.4453125
147,,225.4041525,1.71875
148,,225.4250171,2.0361328125
149,,225.4464465,2.314453125
150,,225.4821221,2.5634765625
151,,225.486766,2.744140625
152,,225.5216227,2.8662109375
153,,225.5437494,2.900390625
154,,225.5500948,2.8564453125
155,,225.5871326,2.75390625
156,,225.5876313,2.6171875
157,,225.6339608,2.4609375
158,,225.6345515,2.32421875
159,,225.6561168,2.197265625
160,,225.6667937,2.08984375
161,,225.7019341,1.9873046875
162,,225.7227297,1.8994140625
163,,225.7276546,1.8115234375
164,,225.7647315,1.7236328125
165,,225.7691557,1.640625
166,,225.8187493,1.5478515625
167,,225.8192767,1.4599609375
168,,225.8276679,1.3720703125
169,,225.8621908,1.279296875
170,,225.8694569,1.19140625
171,,225.9115103,1.1181640625
172,,225.9120811,1.044921875
173,,225.9300848,0.966796875
174,,225.967074,0.9033203125
175,,225.9676516,0.888671875
176,,225.9868315,0.99609375
177,,226.0216185,1.201171875
178,,226.0492809,1.484375
179,,226.0498718,1.7578125
180,,226.0955424,2.021484375
181,,226.0958958,2.216796875
182,,226.1112945,2.36328125
183,,226.1260903,2.4365234375
184,,226.2797741,2.4658203125
185,,226.2806996,2.4267578125
186,,226.2809394,2.3388671875
187,,226.2848351,2.2265625
188,,226.2851247,2.1142578125
189,,226.2853003,1.9970703125
190,,226.2854704,1.8994140625
191,,226.2896418,1.806640625
192,,226.3285814,1.71875
193,,226.3494034,1.650390625
194,,226.3498467,1.572265625
195,,226.3968276,1.5087890625
196,,226.3973959,1.435546875
197,,226.4093395,1.3671875
198,,226.4594271,1.2890625
199,,226.4598923,1.220703125
200,,226.4698115,1.15234375
201,,226.52022,1.0791015625
202,,226.5208192,1.005859375
203,,226.5286214,0.9326171875
204,,226.5640056,0.8544921875
205,,226.5693531,0.7861328125
206,,226.6161509,0.791015625
207,,226.616589,0.9033203125
208,,226.6316161,1.15234375
209,,226.6504078,1.4453125
210,,226.6860407,1.7626953125
211,,226.6864001,2.01171875
212,,226.718507,2.2314453125
213,,226.755792,2.36328125
214,,226.7561247,2.4365234375
215,,226.7698168,2.4365234375
216,,226.8052278,2.3876953125
217,,226.8099206,2.2998046875
218,,226.8457897,2.197265625
219,,226.8676117,2.099609375
220,,226.8681578,2.001953125
221,,226.9022086,1.9140625
222,,226.9219365,1.8359375
223,,226.9279285,1.7626953125
224,,226.961744,1.6845703125
225,,226.9852856,1.5966796875
226,,226.9916301,1.5087890625
227,,227.0300974,1.416015625
228,,227.030769,1.318359375
229,,227.0782227,1.220703125
230,,227.0787968,1.1083984375
231,,227.0966686,1.005859375
232,,227.1086483,0.9033203125
233,,227.1426274,0.7958984375
234,,227.1633276,0.7080078125
235,,227.1714859,0.6396484375
236,,227.1916838,0.5908203125
237,,227.2281216,0.6005859375
238,,227.2326821,0.732421875
239,,227.2477408,0.947265625
240,,227.2920327,1.25
241,,227.2932931,1.5185546875
242,,227.312855,1.7724609375
243,,227.3295822,1.943359375
244,,227.3653919,2.0703125
245,,227.3859929,2.1240234375
246,,227.390259,2.12890625
247,,227.4314354,2.080078125
248,,227.432079,2.0068359375
249,,227.4490651,1.9091796875
250,,227.4852757,1.8115234375
251,,227.5090439,1.708984375
252,,227.5096211,1.6064453125
253,,227.5432506,1.494140625
254,,227.5633473,1.376953125
255,,227.5715214,1.259765625
256,,227.6046169,1.1328125
257,,227.6086574,0.986328125
258,,227.6439312,0.849609375
259,,227.664012,0.6982421875
260,,227.669778,0.556640625
261,,227.7034925,0.41015625
262,,227.7234826,0.2734375
263,,227.7315459,0.17578125
264,,227.7646413,0.0537109375
265,,227.7687623,0.0048828125
266,,227.8018186,0.0048828125
267,,227.8236279,0.0048828125
268,,227.8300537,0.0048828125
269,,227.8635134,0.029296875
270,,227.8855032,0.37109375
271,,227.8917291,0.78125
272,,227.9290171,1.2353515625
273,,227.9316194,1.6162109375
274,,227.9675853,1.9482421875
275,,227.9884446,2.1728515625
276,,227.9891408,2.333984375
277,,228.0327,2.4072265625
278,,228.0332869,2.412109375
279,,228.079236,2.3681640625
280,,228.0800248,2.294921875
281,,228.0911571,2.20703125
282,,228.1284544,2.1240234375
283,,228.1328687,2.05078125
284,,228.1495052,1.9873046875
285,,228.1851473,1.93359375
286,,228.2056265,1.8896484375
287,,228.2110816,1.8408203125
288,,228.2464181,1.796875
289,,228.2666566,1.7529296875
290,,228.2724079,1.7138671875
291,,228.3079947,1.669921875
292,,228.3089078,1.611328125
293,,228.3401135,1.5576171875
294,,228.3616973,1.4892578125
295,,228.3709929,1.4111328125
296,,228.4069682,1.3330078125
297,,228.4119733,1.2451171875
298,,228.4523359,1.171875
299,,228.4528005,1.162109375
300,,228.4888227,1.2841796875
301,,228.4942906,1.5087890625
302,,228.5311759,1.8115234375
303,,228.531578,2.099609375
304,,228.5522139,2.3974609375
305,,228.5918518,2.6416015625
306,,228.5921929,2.8662109375
307,,228.6251427,3.017578125
308,,228.6468557,3.1103515625
309,,228.6535163,3.125
310,,228.6882037,3.0712890625
311,,228.7087688,2.9638671875
312,,228.7091321,2.8369140625
313,,228.7436718,2.6953125
314,,228.7650329,2.55859375
315,,228.7719379,2.431640625
316,,228.8066544,2.314453125
317,,228.8258665,2.2021484375
318,,228.8321603,2.1142578125
319,,228.8661924,2.0361328125
320,,228.8865375,1.962890625
321,,228.8892069,1.8994140625
322,,228.9246964,1.8310546875
323,,228.946067,1.7626953125
324,,228.9535904,1.689453125
325,,228.99061,1.611328125
326,,228.9926449,1.5234375
327,,229.026664,1.42578125
328,,229.0473136,1.328125
329,,229.049801,1.25
330,,229.0865697,1.220703125
331,,229.1071214,1.3330078125
332,,229.1119365,1.5673828125
333,,229.1475318,1.8408203125
334,,229.1542655,2.1484375
335,,229.1720168,2.431640625
336,,229.20971,2.6904296875
337,,229.2293848,2.880859375
338,,229.2344438,3.0126953125
339,,229.2521034,3.056640625
340,,229.2861065,3.0322265625
341,,229.3083976,2.94921875
342,,229.3140035,2.822265625
343,,229.3343892,2.6904296875
