Time,PPG_Signal
0.4454551,1.03515625
0.4498907,1.044921875
0.486748,1.0791015625
0.4894204,1.1474609375
0.507614,1.220703125
0.5436021,1.3134765625
0.5493252,1.3818359375
0.5833931,1.455078125
0.5897985,1.4990234375
0.6292715,1.54296875
0.6296536,1.5625
0.6631847,1.572265625
0.6843539,1.5478515625
0.6891895,1.5234375
0.7387703,1.4892578125
0.7390418,1.46484375
0.7500646,1.435546875
0.7697488,1.4208984375
0.8070345,1.3916015625
0.8117995,1.357421875
0.8317467,1.3232421875
0.8486236,1.2890625
0.8697936,1.2548828125
0.8896232,1.2255859375
0.9100035,1.201171875
0.930879,1.171875
0.9690397,1.15234375
0.9692955,1.123046875
1.0144357,1.0986328125
1.0657869,1.0791015625
1.0660698,1.0595703125
1.0662992,1.044921875
1.0919443,1.03515625
1.0922703,1.0302734375
1.1104007,1.0205078125
1.131405,1.0400390625
1.1511089,1.0791015625
1.1973627,1.15234375
1.197737,1.2255859375
1.2119034,1.30859375
1.227994,1.3671875
1.2632627,1.4306640625
1.2849096,1.4794921875
1.2895189,1.5185546875
1.3252637,1.533203125
1.329764,1.5380859375
1.351315,1.5185546875
1.4009972,1.4892578125
1.4014921,1.455078125
1.4089985,1.435546875
1.4272672,1.416015625
1.4785774,1.38671875
1.4788748,1.357421875
1.490531,1.3232421875
1.5418095,1.2841796875
1.542157,1.25
1.5522565,1.2158203125
1.5702017,1.181640625
1.6183927,1.1572265625
1.6186336,1.1328125
1.6319401,1.1181640625
1.6503152,1.09375
1.6975784,1.0791015625
1.697927,1.0595703125
1.7175217,1.0498046875
1.7320373,1.03515625
1.7488139,1.0107421875
1.7875598,1.0009765625
1.817815,0.966796875
1.8180731,1.0009765625
1.8288272,1.044921875
1.862863,1.123046875
1.8834966,1.2060546875
1.8902823,1.298828125
1.9256016,1.3671875
1.9455604,1.435546875
1.9473658,1.484375
1.9878227,1.5283203125
2.0079565,1.552734375
2.0112377,1.5625
2.0464884,1.54296875
2.0683508,1.5185546875
2.073969,1.494140625
2.1090676,1.4599609375
2.1140661,1.435546875
2.1290048,1.40625
2.1638287,1.376953125
2.1839114,1.34765625
2.1922065,1.3232421875
2.2404489,1.2841796875
2.240653,1.25
2.2530282,1.2158203125
2.3011912,1.1865234375
2.3015928,1.162109375
2.3105364,1.1474609375
2.3299565,1.1279296875
2.3665653,1.1181640625
2.3706904,1.103515625
2.4092504,1.0791015625
2.4117915,1.064453125
2.4547935,1.044921875
2.45506,1.03515625
2.4691301,1.015625
2.5043053,1.025390625
2.5326391,1.0595703125
2.5330173,1.1279296875
2.580793,1.201171875
2.5811163,1.2841796875
2.6101483,1.3525390625
2.6130813,1.4111328125
2.6329039,1.455078125
2.6541716,1.4697265625
2.6721205,1.474609375
2.6914551,1.4990234375
2.7328216,1.494140625
2.7330257,1.474609375
2.7632661,1.455078125
2.7721551,1.435546875
2.8072742,1.4111328125
2.8281098,1.38671875
2.8359556,1.3671875
2.8502569,1.337890625
2.8874634,1.30859375
2.8902255,1.279296875
2.9255633,1.2451171875
2.9510295,1.2158203125
2.9531355,1.19140625
2.9910332,1.162109375
2.995301,1.142578125
3.0167165,1.123046875
3.0318261,1.103515625
3.0761806,1.0888671875
3.0777802,1.0693359375
3.0918764,1.0595703125
3.1371667,1.03515625
3.1374966,1.025390625
3.1580176,1.025390625
3.1737993,1.064453125
3.1925864,1.1181640625
3.2115381,1.2109375
3.2568305,1.2890625
3.2572069,1.3671875
3.2713101,1.42578125
3.3069866,1.4794921875
3.3351174,1.5087890625
3.3354526,1.54296875
3.3707015,1.5478515625
3.3709586,1.533203125
3.406803,1.5185546875
3.4119761,1.4892578125
3.4498512,1.4697265625
3.4519254,1.4453125
3.4871095,1.416015625
3.5222716,1.3818359375
3.5224736,1.3427734375
3.5361537,1.30859375
3.5717691,1.26953125
3.5719825,1.23046875
3.6124966,1.2060546875
3.6127965,1.1767578125
3.6470303,1.15234375
3.6692668,1.1328125
3.6737583,1.103515625
3.6945572,1.083984375
3.7366691,1.064453125
3.7369392,1.044921875
3.7531011,1.025390625
3.8005704,1.015625
3.8008454,1.0009765625
3.8138107,1.0009765625
3.834724,1.0205078125
3.8777335,1.083984375
3.8780256,1.1572265625
3.9132625,1.2548828125
3.9134768,1.3330078125
3.9295647,1.416015625
3.9629741,1.4794921875
3.9887465,1.54296875
3.9934968,1.58203125
4.0139484,1.5966796875
4.0511323,1.5966796875
4.0809919,1.5771484375
4.0829827,1.5478515625
4.091157,1.513671875
4.1281211,1.494140625
4.1340656,1.46484375
4.1735862,1.435546875
4.1739315,1.4013671875
4.2087436,1.3623046875
4.2375839,1.3232421875
4.2381365,1.2890625
4.2522166,1.2451171875
4.2708599,1.2158203125
4.314402,1.1865234375
4.3147603,1.1279296875
4.3346049,1.1083984375
4.377324,1.09375
4.3776492,1.083984375
4.4230025,1.064453125
4.4234721,1.0498046875
4.4340367,1.0302734375
4.4864249,1.015625
4.4867964,0.99609375
4.4926197,0.99609375
4.5305728,1.015625
4.5504266,1.0693359375
4.5558375,1.1376953125
4.5745882,1.220703125
4.6218676,1.2939453125
4.622378,1.376953125
4.6356223,1.4453125
4.652455,1.4892578125
4.7001332,1.533203125
4.7004138,1.5478515625
4.714929,1.5478515625
4.7494271,1.5283203125
4.7567758,1.494140625
4.7914351,1.46484375
4.7953208,1.435546875
4.8118062,1.40625
4.8483231,1.376953125
4.8513056,1.34765625
4.886279,1.3232421875
4.9174008,1.2841796875
4.9176123,1.25
4.9354687,1.220703125
4.9807937,1.181640625
4.9809994,1.15234375
4.9910504,1.123046875
5.0276798,1.1083984375
5.0558941,1.0888671875
5.0561285,1.0693359375
5.0912795,1.0498046875
5.0979827,1.03515625
5.1149898,1.015625
5.1527299,1.0009765625
5.1572572,0.986328125
5.1770659,0.9619140625
5.1941516,0.9716796875
5.2136847,1.0498046875
5.23546,1.1328125
5.2703209,1.2353515625
5.2763392,1.3232421875
5.2967345,1.3916015625
5.3353728,1.4501953125
5.3358069,1.4892578125
5.3709504,1.5185546875
5.3927658,1.5283203125
5.3932349,1.5234375
5.416292,1.50390625
5.4350987,1.4794921875
5.472806,1.4501953125
5.4945652,1.42578125
5.4949183,1.396484375
5.5327878,1.3720703125
5.5332132,1.337890625
5.5672716,1.3037109375
5.5895914,1.2744140625
5.5947727,1.240234375
5.6417178,1.2060546875
5.6420809,1.1767578125
5.6617024,1.15234375
5.6768373,1.123046875
5.7194351,1.0986328125
5.719841,1.07421875
5.7399314,1.0595703125
5.7547835,1.044921875
5.7899067,1.03515625
5.8087302,1.0205078125
5.8154239,1.005859375
5.8519698,0.99609375
5.871612,1.015625
5.8721257,1.0595703125
5.9155142,1.15234375
5.9158967,1.240234375
5.9365687,1.318359375
5.9719189,1.3916015625
5.9770965,1.4404296875
6.0258851,1.484375
6.0262531,1.5087890625
6.0363346,1.5234375
6.0737542,1.5087890625
6.1045313,1.484375
6.1053205,1.4501953125
6.1164653,1.4306640625
6.1363863,1.40625
6.180553,1.38671875
6.1808683,1.3525390625
6.1959363,1.328125
6.2323071,1.298828125
6.2587802,1.259765625
6.2592146,1.2255859375
6.2744862,1.1962890625
6.3222268,1.171875
6.3225452,1.1474609375
6.3371045,1.1279296875
